mean of forward measurement times = 0.106535
std. dev of forward measurement times = 0.148278
mean of backward measurement times = 0.003476
std. dev of backward measurement times = 0.001453
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::clone         0.35%     186.000us         2.05%       1.074ms      17.900us       0.000us         0.00%     109.000us       1.817us            60  
                                       aten::empty_like         0.57%     299.000us         1.96%       1.030ms       5.819us       0.000us         0.00%       0.000us       0.000us           177  
                                             cudaMalloc         1.95%       1.024ms         1.95%       1.024ms     113.778us       0.000us         0.00%       2.000us       0.222us             9  
                                            aten::fill_         0.86%     450.000us         1.76%     925.000us       6.560us     214.000us         4.57%     243.000us       1.723us           141  
                                            aten::copy_         0.80%     419.000us         1.73%     906.000us       9.742us     129.000us         2.75%     137.000us       1.473us            93  
      autograd::engine::evaluate_function: PowBackward0         0.22%     115.000us         1.61%     845.000us      56.333us       0.000us         0.00%      80.000us       5.333us            15  
                                              aten::bmm         1.18%     620.000us         1.57%     823.000us      22.861us     224.000us         4.78%     230.000us       6.389us            36  
                                           MulBackward0         0.25%     129.000us         1.56%     818.000us      19.476us       0.000us         0.00%     124.000us       2.952us            42  
                                       loss computation         0.60%     316.000us         1.50%     787.000us     262.333us       0.000us         0.00%      58.000us      19.333us             3  
                                              aten::sum         1.09%     569.000us         1.48%     778.000us      12.349us     204.000us         4.36%     219.000us       3.476us            63  
     autograd::engine::evaluate_function: ViewBackward0         0.38%     198.000us         1.44%     756.000us      10.957us       0.000us         0.00%      36.000us       0.522us            69  
      autograd::engine::evaluate_function: BmmBackward0         0.09%      45.000us         1.35%     709.000us      59.083us       0.000us         0.00%     148.000us      12.333us            12  
                                             aten::sub_         0.79%     413.000us         1.35%     709.000us       6.219us     304.000us         6.49%     324.000us       2.842us           114  
                                           aten::square         0.28%     145.000us         1.31%     687.000us      12.053us       0.000us         0.00%     135.000us       2.368us            57  
    autograd::engine::evaluate_function: RsqrtBackward0         0.11%      58.000us         1.27%     666.000us      44.400us       0.000us         0.00%      66.000us       4.400us            15  
      autograd::engine::evaluate_function: DivBackward0         0.12%      61.000us         1.24%     650.000us      36.111us       0.000us         0.00%      90.000us       5.000us            18  
                                           BmmBackward0         0.20%     103.000us         1.23%     646.000us      53.833us       0.000us         0.00%     144.000us      12.000us            12  
                                           PowBackward0         0.14%      72.000us         1.21%     633.000us      42.200us       0.000us         0.00%      55.000us       3.667us            15  
autograd::engine::evaluate_function: UnsafeViewBackw...         0.28%     149.000us         1.16%     610.000us       8.841us       0.000us         0.00%      25.000us       0.362us            69  
                                         RsqrtBackward0         0.14%      76.000us         1.16%     608.000us      40.533us       0.000us         0.00%      66.000us       4.400us            15  
                                    aten::empty_strided         0.91%     477.000us         1.10%     579.000us       4.488us       0.000us         0.00%       0.000us       0.000us           129  
                                      aten::masked_fill         0.19%     102.000us         1.06%     557.000us      46.417us       0.000us         0.00%      43.000us       3.583us            12  
                                             aten::sqrt         0.62%     323.000us         1.03%     538.000us       9.439us     131.000us         2.80%     153.000us       2.684us            57  
      autograd::engine::evaluate_function: MaxBackward0         0.13%      70.000us         1.00%     522.000us      58.000us       0.000us         0.00%      43.000us       4.778us             9  
                                                aten::t         0.55%     291.000us         0.98%     516.000us       2.646us       0.000us         0.00%       0.000us       0.000us           195  
      autograd::engine::evaluate_function: SubBackward0         0.22%     113.000us         0.98%     514.000us      34.267us       0.000us         0.00%      60.000us       4.000us            15  
                                           DivBackward0         0.18%      92.000us         0.93%     489.000us      27.167us       0.000us         0.00%      65.000us       3.611us            18  
                                    cudaLaunchKernelExC         0.89%     465.000us         0.89%     465.000us       3.444us      11.000us         0.23%      11.000us       0.081us           135  
                                        aten::transpose         0.75%     392.000us         0.83%     434.000us       1.556us       0.000us         0.00%       0.000us       0.000us           279  
                                    UnsafeViewBackward0         0.24%     124.000us         0.81%     425.000us       6.159us       0.000us         0.00%      23.000us       0.333us            69  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 52.442ms
Self CUDA time total: 4.684ms

