mean of forward measurement times = 0.108758
std. dev of forward measurement times = 0.151425
mean of backward measurement times = 0.003445
std. dev of backward measurement times = 0.001444
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                       aten::empty_like         0.62%     324.000us         2.05%       1.078ms       6.090us       0.000us         0.00%       0.000us       0.000us           177  
                                            aten::zero_         0.44%     232.000us         2.04%       1.072ms       8.121us       0.000us         0.00%     234.000us       1.773us           132  
                                             cudaMalloc         2.01%       1.060ms         2.01%       1.060ms     117.778us       0.000us         0.00%       0.000us       0.000us             9  
                                            aten::fill_         0.89%     467.000us         1.75%     924.000us       6.553us     215.000us         4.59%     244.000us       1.730us           141  
                                            aten::copy_         0.81%     426.000us         1.74%     916.000us       9.849us     129.000us         2.76%     137.000us       1.473us            93  
      autograd::engine::evaluate_function: PowBackward0         0.22%     117.000us         1.61%     849.000us      56.600us       0.000us         0.00%      80.000us       5.333us            15  
                                           MulBackward0         0.22%     115.000us         1.56%     821.000us      19.548us       0.000us         0.00%     129.000us       3.071us            42  
                                              aten::bmm         1.15%     608.000us         1.52%     801.000us      22.250us     224.000us         4.79%     230.000us       6.389us            36  
                                              aten::sum         1.11%     586.000us         1.51%     795.000us      12.619us     203.000us         4.34%     218.000us       3.460us            63  
                                       loss computation         0.59%     312.000us         1.49%     783.000us     261.000us       0.000us         0.00%      58.000us      19.333us             3  
     autograd::engine::evaluate_function: ViewBackward0         0.38%     202.000us         1.44%     760.000us      11.014us       0.000us         0.00%      36.000us       0.522us            69  
                                             aten::sub_         0.78%     410.000us         1.37%     719.000us       6.307us     304.000us         6.50%     324.000us       2.842us           114  
      autograd::engine::evaluate_function: BmmBackward0         0.06%      32.000us         1.32%     695.000us      57.917us       0.000us         0.00%     148.000us      12.333us            12  
                                           aten::square         0.37%     193.000us         1.31%     688.000us      12.070us       0.000us         0.00%     131.000us       2.298us            57  
    autograd::engine::evaluate_function: RsqrtBackward0         0.10%      55.000us         1.26%     664.000us      44.267us       0.000us         0.00%      66.000us       4.400us            15  
      autograd::engine::evaluate_function: DivBackward0         0.14%      74.000us         1.25%     660.000us      36.667us       0.000us         0.00%      90.000us       5.000us            18  
                                           PowBackward0         0.13%      70.000us         1.21%     637.000us      42.467us       0.000us         0.00%      55.000us       3.667us            15  
autograd::engine::evaluate_function: UnsafeViewBackw...         0.37%     194.000us         1.19%     629.000us       9.116us       0.000us         0.00%      25.000us       0.362us            69  
                                           BmmBackward0         0.23%     119.000us         1.19%     625.000us      52.083us       0.000us         0.00%     131.000us      10.917us            12  
                                         RsqrtBackward0         0.16%      84.000us         1.16%     609.000us      40.600us       0.000us         0.00%      66.000us       4.400us            15  
                                    aten::empty_strided         0.95%     498.000us         1.15%     606.000us       4.698us       0.000us         0.00%       0.000us       0.000us           129  
                                                aten::t         0.61%     320.000us         1.07%     563.000us       2.887us       0.000us         0.00%       0.000us       0.000us           195  
                                             aten::sqrt         0.66%     345.000us         1.05%     554.000us       9.719us     137.000us         2.93%     158.000us       2.772us            57  
                                      aten::masked_fill         0.17%      90.000us         1.05%     553.000us      46.083us       0.000us         0.00%      43.000us       3.583us            12  
      autograd::engine::evaluate_function: SubBackward0         0.21%     109.000us         0.96%     507.000us      33.800us       0.000us         0.00%      60.000us       4.000us            15  
                                           DivBackward0         0.16%      86.000us         0.94%     493.000us      27.389us       0.000us         0.00%      70.000us       3.889us            18  
      autograd::engine::evaluate_function: MaxBackward0         0.13%      68.000us         0.93%     489.000us      54.333us       0.000us         0.00%      43.000us       4.778us             9  
                                    cudaLaunchKernelExC         0.87%     458.000us         0.87%     458.000us       3.393us      11.000us         0.24%      11.000us       0.081us           135  
                                        aten::transpose         0.78%     410.000us         0.85%     449.000us       1.609us       0.000us         0.00%       0.000us       0.000us           279  
                                    UnsafeViewBackward0         0.17%      91.000us         0.81%     429.000us       6.217us       0.000us         0.00%      25.000us       0.362us            69  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 52.658ms
Self CUDA time total: 4.680ms

