mean of forward measurement times = 0.107409
std. dev of forward measurement times = 0.149464
mean of backward measurement times = 0.003508
std. dev of backward measurement times = 0.001511
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::clone         0.50%     191.000us         2.73%       1.047ms      17.450us       0.000us         0.00%     110.000us       1.833us            60  
                                       aten::empty_like         0.70%     269.000us         2.59%     993.000us       5.610us       0.000us         0.00%       0.000us       0.000us           177  
                                            aten::fill_         1.17%     449.000us         2.38%     913.000us       6.475us     213.000us         4.52%     239.000us       1.695us           141  
                                            aten::copy_         1.09%     418.000us         2.37%     910.000us       9.785us     129.000us         2.74%     138.000us       1.484us            93  
      autograd::engine::evaluate_function: PowBackward0         0.30%     115.000us         2.16%     830.000us      55.333us       0.000us         0.00%      80.000us       5.333us            15  
                                           MulBackward0         0.48%     185.000us         2.16%     827.000us      19.690us       0.000us         0.00%     110.000us       2.619us            42  
                                              aten::bmm         1.64%     630.000us         2.15%     826.000us      22.944us     230.000us         4.88%     238.000us       6.611us            36  
                                              aten::sum         1.55%     596.000us         2.13%     817.000us      12.968us     208.000us         4.41%     222.000us       3.524us            63  
                                       loss computation         0.85%     325.000us         2.06%     791.000us     263.667us       0.000us         0.00%      62.000us      20.667us             3  
     autograd::engine::evaluate_function: ViewBackward0         0.49%     188.000us         1.97%     756.000us      10.957us       0.000us         0.00%      37.000us       0.536us            69  
                                             aten::sub_         1.01%     388.000us         1.90%     728.000us       6.386us     304.000us         6.45%     341.000us       2.991us           114  
      autograd::engine::evaluate_function: BmmBackward0         0.17%      66.000us         1.88%     720.000us      60.000us       0.000us         0.00%     153.000us      12.750us            12  
    autograd::engine::evaluate_function: RsqrtBackward0         0.15%      56.000us         1.75%     671.000us      44.733us       0.000us         0.00%      63.000us       4.200us            15  
                                           aten::square         0.34%     131.000us         1.74%     669.000us      11.737us       0.000us         0.00%     148.000us       2.596us            57  
                                           BmmBackward0         0.24%      92.000us         1.71%     654.000us      54.500us       0.000us         0.00%     153.000us      12.750us            12  
      autograd::engine::evaluate_function: DivBackward0         0.19%      74.000us         1.68%     644.000us      35.778us       0.000us         0.00%      92.000us       5.111us            18  
                                           PowBackward0         0.17%      64.000us         1.61%     619.000us      41.267us       0.000us         0.00%      52.000us       3.467us            15  
                                         RsqrtBackward0         0.17%      65.000us         1.60%     615.000us      41.000us       0.000us         0.00%      63.000us       4.200us            15  
autograd::engine::evaluate_function: UnsafeViewBackw...         0.34%     131.000us         1.56%     600.000us       8.696us       0.000us         0.00%      24.000us       0.348us            69  
                                    aten::empty_strided         1.25%     479.000us         1.53%     586.000us       4.543us       0.000us         0.00%       0.000us       0.000us           129  
                                             aten::sqrt         0.88%     338.000us         1.44%     553.000us       9.702us     135.000us         2.86%     148.000us       2.596us            57  
                                      aten::masked_fill         0.24%      92.000us         1.41%     542.000us      45.167us       0.000us         0.00%      46.000us       3.833us            12  
                                                aten::t         0.79%     303.000us         1.33%     511.000us       2.621us       0.000us         0.00%       0.000us       0.000us           195  
      autograd::engine::evaluate_function: SubBackward0         0.28%     108.000us         1.33%     510.000us      34.000us       0.000us         0.00%      62.000us       4.133us            15  
      autograd::engine::evaluate_function: MaxBackward0         0.18%      70.000us         1.28%     492.000us      54.667us       0.000us         0.00%      39.000us       4.333us             9  
                                           DivBackward0         0.19%      74.000us         1.27%     486.000us      27.000us       0.000us         0.00%      72.000us       4.000us            18  
                                    cudaLaunchKernelExC         1.17%     450.000us         1.17%     450.000us       3.333us      17.000us         0.36%      17.000us       0.126us           135  
                                        aten::transpose         1.05%     401.000us         1.13%     434.000us       1.556us       0.000us         0.00%       0.000us       0.000us           279  
                                          ViewBackward0         0.36%     137.000us         1.10%     421.000us       6.101us       0.000us         0.00%      23.000us       0.333us            69  
                                             aten::add_         0.59%     226.000us         1.08%     413.000us       6.883us      66.000us         1.40%      87.000us       1.450us            60  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 38.353ms
Self CUDA time total: 4.715ms

