mean of forward measurement times = 0.112464
std. dev of forward measurement times = 0.156635
mean of backward measurement times = 0.003733
std. dev of backward measurement times = 0.001325
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                       aten::zeros_like         0.65%     341.000us         3.52%       1.835ms      16.096us       0.000us         0.00%     197.000us       1.728us           114  
                                             aten::sqrt         0.63%     328.000us         1.04%     541.000us       9.491us     132.000us         2.82%     154.000us       2.702us            57  
                                       loss computation         0.63%     326.000us         1.52%     791.000us     263.667us       0.000us         0.00%      58.000us      19.333us             3  
                                          aten::reshape         0.60%     311.000us         2.26%       1.178ms       5.691us       0.000us         0.00%      85.000us       0.411us           207  
      autograd::engine::evaluate_function: MulBackward0         0.58%     304.000us         3.08%       1.603ms      38.167us       0.000us         0.00%     278.000us       6.619us            42  
                                        cudaMemcpyAsync         0.57%     297.000us         0.57%     297.000us       9.000us       7.000us         0.15%       7.000us       0.212us            33  
                                                aten::t         0.56%     290.000us         0.97%     504.000us       2.585us       0.000us         0.00%       0.000us       0.000us           195  
                                           aten::matmul         0.55%     287.000us         4.59%       2.393ms      46.922us       0.000us         0.00%     606.000us      11.882us            51  
                                       aten::empty_like         0.52%     272.000us         1.93%       1.005ms       5.678us       0.000us         0.00%       0.000us       0.000us           177  
                                            MmBackward0         0.52%     272.000us         3.93%       2.047ms      52.487us       0.000us         0.00%     585.000us      15.000us            39  
                                            aten::zero_         0.46%     240.000us         2.01%       1.049ms       7.947us       0.000us         0.00%     234.000us       1.773us           132  
                                             aten::mean         0.46%     239.000us         0.58%     303.000us      16.833us      64.000us         1.37%      66.000us       3.667us            18  
                    Optimizer.zero_grad#AdamW.zero_grad         0.46%     238.000us         0.46%     238.000us      79.333us       0.000us         0.00%       0.000us       0.000us             3  
                                             aten::add_         0.45%     235.000us         0.82%     426.000us       7.100us      65.000us         1.39%      84.000us       1.400us            60  
                                  cudaFuncGetAttributes         0.42%     220.000us         0.42%     220.000us       2.222us      27.000us         0.58%      27.000us       0.273us            99  
                                              aten::neg         0.41%     216.000us         0.61%     320.000us       9.697us      33.000us         0.71%      43.000us       1.303us            33  
     autograd::engine::evaluate_function: ViewBackward0         0.38%     198.000us         1.43%     745.000us      10.797us       0.000us         0.00%      36.000us       0.522us            69  
                                            aten::clone         0.37%     192.000us         2.04%       1.064ms      17.733us       0.000us         0.00%     107.000us       1.783us            60  
autograd::engine::evaluate_function: UnsafeViewBackw...         0.36%     187.000us         1.15%     600.000us       8.696us       0.000us         0.00%      25.000us       0.362us            69  
                                           aten::expand         0.35%     184.000us         0.37%     192.000us       2.207us       0.000us         0.00%       0.000us       0.000us            87  
                                           aten::linear         0.35%     180.000us         3.29%       1.715ms      43.974us       0.000us         0.00%     452.000us      11.590us            39  
                                              aten::max         0.33%     173.000us         0.40%     209.000us      23.222us      34.000us         0.73%      35.000us       3.889us             9  
autograd::engine::evaluate_function: torch::autograd...         0.33%     171.000us         0.64%     332.000us       5.825us       0.000us         0.00%       0.000us       0.000us            57  
       autograd::engine::evaluate_function: MmBackward0         0.31%     159.000us         4.27%       2.224ms      57.026us       0.000us         0.00%     611.000us      15.667us            39  
                                              aten::exp         0.28%     145.000us         0.37%     194.000us      12.933us      15.000us         0.32%      17.000us       1.133us            15  
                                           aten::square         0.27%     141.000us         1.33%     691.000us      12.123us       0.000us         0.00%     145.000us       2.544us            57  
                                            aten::rsqrt         0.26%     138.000us         0.36%     187.000us      12.467us      15.000us         0.32%      15.000us       1.000us            15  
                                           MulBackward0         0.26%     138.000us         1.55%     806.000us      19.190us       0.000us         0.00%     124.000us       2.952us            42  
                                              aten::sub         0.25%     132.000us         0.34%     177.000us      11.800us      22.000us         0.47%      33.000us       2.200us            15  
                                             aten::view         0.25%     129.000us         0.25%     129.000us       0.597us       0.000us         0.00%       0.000us       0.000us           216  
                                          ViewBackward0         0.24%     124.000us         0.79%     410.000us       5.942us       0.000us         0.00%      22.000us       0.319us            69  
      autograd::engine::evaluate_function: PowBackward0         0.22%     114.000us         1.65%     859.000us      57.267us       0.000us         0.00%      80.000us       5.333us            15  
      autograd::engine::evaluate_function: SubBackward0         0.21%     110.000us         0.99%     516.000us      34.400us       0.000us         0.00%      61.000us       4.067us            15  
                                      aten::masked_fill         0.21%     107.000us         1.06%     554.000us      46.167us       0.000us         0.00%      43.000us       3.583us            12  
                                     aten::masked_fill_         0.20%     105.000us         0.32%     169.000us      14.083us      22.000us         0.47%      27.000us       2.250us            12  
                                         aten::_to_copy         0.19%     101.000us         0.57%     295.000us      24.583us       0.000us         0.00%       6.000us       0.500us            12  
                                         aten::scatter_         0.19%     101.000us         0.25%     132.000us      14.667us      16.000us         0.34%      17.000us       1.889us             9  
      autograd::engine::evaluate_function: AddBackward0         0.19%      97.000us         0.26%     133.000us       3.694us       0.000us         0.00%      18.000us       0.500us            36  
                                         optimizer pass         0.18%      92.000us        25.70%      13.394ms       4.465ms       0.000us         0.00%       2.433ms     811.000us             3  
        autograd::engine::evaluate_function: TBackward0         0.17%      91.000us         0.47%     244.000us       6.256us       0.000us         0.00%       0.000us       0.000us            39  
                                     aten::index_select         0.17%      90.000us         0.41%     212.000us      35.333us      30.000us         0.64%      30.000us       5.000us             6  
      autograd::engine::evaluate_function: DivBackward0         0.17%      90.000us         1.22%     635.000us      35.278us       0.000us         0.00%      90.000us       5.000us            18  
                                         RsqrtBackward0         0.16%      85.000us         1.18%     617.000us      41.133us       0.000us         0.00%      66.000us       4.400us            15  
                                    UnsafeViewBackward0         0.16%      83.000us         0.78%     407.000us       5.899us       0.000us         0.00%      25.000us       0.362us            69  
                                           BmmBackward0         0.16%      81.000us         1.19%     622.000us      51.833us       0.000us         0.00%     149.000us      12.417us            12  
                                     aten::_unsafe_view         0.15%      80.000us         0.15%      80.000us       0.860us       0.000us         0.00%       0.000us       0.000us            93  
                                           MaxBackward0         0.15%      76.000us         0.68%     355.000us      39.444us       0.000us         0.00%      29.000us       3.222us             9  
                                        aten::embedding         0.13%      70.000us         0.56%     294.000us      49.000us       0.000us         0.00%      30.000us       5.000us             6  
                                           DivBackward0         0.13%      68.000us         0.91%     472.000us      26.222us       0.000us         0.00%      73.000us       4.056us            18  
                                           PowBackward0         0.13%      66.000us         1.22%     638.000us      42.533us       0.000us         0.00%      55.000us       3.667us            15  
autograd::engine::evaluate_function: EmbeddingBackwa...         0.12%      65.000us         0.53%     276.000us      46.000us       0.000us         0.00%      28.000us       4.667us             6  
                                           aten::detach         0.12%      64.000us         0.16%      85.000us       1.491us       0.000us         0.00%       0.000us       0.000us            57  
      autograd::engine::evaluate_function: BmmBackward0         0.12%      64.000us         1.32%     686.000us      57.167us       0.000us         0.00%     149.000us      12.417us            12  
                        torch::autograd::AccumulateGrad         0.12%      63.000us         0.31%     160.000us       2.807us       0.000us         0.00%       0.000us       0.000us            57  
autograd::engine::evaluate_function: TransposeBackwa...         0.11%      59.000us         0.29%     152.000us       5.067us       0.000us         0.00%       0.000us       0.000us            30  
                                     aten::scatter_add_         0.11%      58.000us         0.14%      73.000us      24.333us       6.000us         0.13%       6.000us       2.000us             3  
                                    MaskedFillBackward0         0.11%      58.000us         0.51%     265.000us      44.167us       0.000us         0.00%      19.000us       3.167us             6  
                                              aten::erf         0.11%      57.000us         0.15%      78.000us      13.000us       6.000us         0.13%       6.000us       1.000us             6  
                                      aten::_pin_memory         0.11%      55.000us         0.17%      89.000us      14.833us       0.000us         0.00%       0.000us       0.000us             6  
    autograd::engine::evaluate_function: RsqrtBackward0         0.11%      55.000us         1.29%     672.000us      44.800us       0.000us         0.00%      66.000us       4.400us            15  
                                       aten::as_strided         0.10%      54.000us         0.10%      54.000us       0.129us       0.000us         0.00%       0.000us       0.000us           417  
                                             aten::triu         0.10%      54.000us         0.15%      78.000us      13.000us       8.000us         0.17%       8.000us       1.333us             6  
                                           aten::gather         0.10%      51.000us         0.13%      67.000us      22.333us       6.000us         0.13%       6.000us       2.000us             3  
               aten::value_selecting_reduction_backward         0.10%      50.000us         0.60%     315.000us      35.000us       0.000us         0.00%      31.000us       3.444us             9  
    autograd::engine::evaluate_function: CloneBackward0         0.10%      50.000us         0.10%      50.000us       2.083us       0.000us         0.00%       0.000us       0.000us            24  
autograd::engine::evaluate_function: ExpandBackward0...         0.10%      50.000us         0.10%      50.000us       2.083us       0.000us         0.00%       0.000us       0.000us            24  
                                             aten::ones         0.09%      49.000us         0.22%     114.000us      19.000us       0.000us         0.00%       4.000us       0.667us             6  
                         aten::embedding_dense_backward         0.09%      48.000us         0.30%     158.000us      26.333us      12.000us         0.26%      23.000us       3.833us             6  
     autograd::engine::evaluate_function: MeanBackward1         0.09%      46.000us         0.59%     305.000us      20.333us       0.000us         0.00%      33.000us       2.200us            15  
      autograd::engine::evaluate_function: SumBackward1         0.08%      44.000us         0.25%     130.000us      14.444us       0.000us         0.00%      12.000us       1.333us             9  
                                            aten::zeros         0.08%      44.000us         0.45%     235.000us      15.667us       0.000us         0.00%      23.000us       1.533us            15  
                                          MeanBackward1         0.08%      44.000us         0.50%     259.000us      17.267us       0.000us         0.00%      33.000us       2.200us            15  
                                             aten::item         0.08%      43.000us         0.09%      47.000us       1.958us       0.000us         0.00%       0.000us       0.000us            24  
     autograd::engine::evaluate_function: MeanBackward0         0.08%      42.000us         0.37%     195.000us      65.000us       0.000us         0.00%       3.000us       1.000us             3  
                                           SubBackward0         0.08%      41.000us         0.32%     168.000us      11.200us       0.000us         0.00%      22.000us       1.467us            15  
                                          aten::resize_         0.08%      40.000us         0.08%      40.000us       4.444us       0.000us         0.00%       0.000us       0.000us             9  
                                             TBackward0         0.07%      37.000us         0.26%     138.000us       3.538us       0.000us         0.00%       0.000us       0.000us            39  
                                     TransposeBackward0         0.07%      37.000us         0.14%      75.000us       2.500us       0.000us         0.00%       0.000us       0.000us            30  
                                            aten::stack         0.07%      35.000us         0.10%      53.000us       8.833us       0.000us         0.00%       0.000us       0.000us             6  
                                               aten::to         0.07%      35.000us         0.61%     318.000us       2.650us       0.000us         0.00%       5.000us       0.042us           120  
                                           aten::arange         0.07%      35.000us         0.25%     129.000us      21.500us       3.000us         0.06%       6.000us       1.000us             6  
      autograd::engine::evaluate_function: ExpBackward0         0.07%      34.000us         0.31%     159.000us      17.667us       0.000us         0.00%      10.000us       1.111us             9  
                                                 detach         0.07%      34.000us         0.07%      34.000us       0.596us       0.000us         0.00%       0.000us       0.000us            57  
                                          aten::randint         0.06%      33.000us         0.12%      60.000us      20.000us       0.000us         0.00%       0.000us       0.000us             3  
                                           aten::unbind         0.06%      33.000us         0.13%      70.000us      11.667us       0.000us         0.00%       0.000us       0.000us             6  
                                           aten::select         0.06%      33.000us         0.07%      37.000us       3.083us       0.000us         0.00%       0.000us       0.000us            12  
                                           ExpBackward0         0.06%      33.000us         0.24%     125.000us      13.889us       0.000us         0.00%      10.000us       1.111us             9  
                                              aten::log         0.06%      29.000us         0.07%      39.000us      13.000us       3.000us         0.06%       5.000us       1.667us             3  
                                          MeanBackward0         0.06%      29.000us         0.29%     153.000us      51.000us       0.000us         0.00%       3.000us       1.000us             3  
                                           ErfBackward0         0.06%      29.000us         0.69%     361.000us      60.167us       0.000us         0.00%      35.000us       5.833us             6  
autograd::engine::evaluate_function: GatherBackward0...         0.05%      28.000us         0.38%     198.000us      66.000us       0.000us         0.00%       9.000us       3.000us             3  
      autograd::engine::evaluate_function: ErfBackward0         0.05%      27.000us         0.74%     388.000us      64.667us       0.000us         0.00%      35.000us       5.833us             6  
                                        aten::unsqueeze         0.04%      23.000us         0.05%      26.000us       4.333us       0.000us         0.00%       0.000us       0.000us             6  
                                       aten::pin_memory         0.04%      22.000us         3.58%       1.863ms     310.500us       0.000us         0.00%       0.000us       0.000us             6  
      autograd::engine::evaluate_function: MaxBackward0         0.04%      21.000us         0.93%     484.000us      53.778us       0.000us         0.00%      43.000us       4.778us             9  
                                          aten::random_         0.03%      18.000us         0.03%      18.000us       6.000us       0.000us         0.00%       0.000us       0.000us             3  
                                         cudaEventQuery         0.03%      18.000us         0.03%      18.000us       3.000us       0.000us         0.00%       0.000us       0.000us             6  
                                           SumBackward1         0.03%      18.000us         0.06%      30.000us       3.333us       0.000us         0.00%       0.000us       0.000us             9  
                                           NegBackward0         0.03%      16.000us         0.08%      41.000us      13.667us       0.000us         0.00%       2.000us       0.667us             3  
                                  aten::gather_backward         0.03%      15.000us         0.31%     159.000us      53.000us       0.000us         0.00%       9.000us       3.000us             3  
                                        aten::new_zeros         0.03%      15.000us         0.14%      71.000us      23.667us       0.000us         0.00%       3.000us       1.000us             3  
                               aten::embedding_backward         0.03%      15.000us         0.33%     173.000us      28.833us       0.000us         0.00%      23.000us       3.833us             6  
                                              aten::cat         0.03%      14.000us         0.03%      14.000us       2.333us       0.000us         0.00%       0.000us       0.000us             6  
                               cudaPointerGetAttributes         0.02%      12.000us         0.02%      12.000us       2.000us       0.000us         0.00%       0.000us       0.000us             6  
      autograd::engine::evaluate_function: LogBackward0         0.02%      12.000us         0.11%      59.000us      19.667us       0.000us         0.00%       7.000us       2.333us             3  
                                   aten::_reshape_alias         0.02%      12.000us         0.02%      12.000us       2.000us       0.000us         0.00%       0.000us       0.000us             6  
                                        GatherBackward0         0.02%      11.000us         0.33%     170.000us      56.667us       0.000us         0.00%       9.000us       3.000us             3  
                                     EmbeddingBackward0         0.02%      11.000us         0.35%     184.000us      30.667us       0.000us         0.00%      23.000us       3.833us             6  
cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFla...         0.02%      10.000us         0.02%      10.000us       0.185us      13.000us         0.28%      13.000us       0.241us            54  
                                        aten::ones_like         0.02%      10.000us         0.13%      66.000us      22.000us       0.000us         0.00%       3.000us       1.000us             3  
                                        cudaEventRecord         0.02%       8.000us         0.02%       8.000us       1.333us       0.000us         0.00%       0.000us       0.000us             6  
                                       aten::contiguous         0.01%       7.000us         0.19%     100.000us      16.667us       0.000us         0.00%      12.000us       2.000us             6  
                                  cudaDeviceSynchronize         0.01%       7.000us         0.01%       7.000us       7.000us       0.000us         0.00%       0.000us       0.000us             1  
                                        aten::new_empty         0.01%       6.000us         0.04%      21.000us       7.000us       0.000us         0.00%       0.000us       0.000us             3  
                              aten::_local_scalar_dense         0.01%       4.000us         0.01%       4.000us       0.167us       0.000us         0.00%       0.000us       0.000us            24  
                                             aten::set_         0.01%       4.000us         0.01%       4.000us       0.667us       0.000us         0.00%       0.000us       0.000us             6  
                                           LogBackward0         0.01%       4.000us         0.09%      47.000us      15.667us       0.000us         0.00%       7.000us       2.333us             3  
                                       aten::lift_fresh         0.00%       2.000us         0.00%       2.000us       0.167us       0.000us         0.00%       0.000us       0.000us            12  
                                  cudaStreamIsCapturing         0.00%       2.000us         0.00%       2.000us       0.222us       2.000us         0.04%       2.000us       0.222us             9  
                         Memcpy HtoD (Pinned -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us             6  
void at::native::(anonymous namespace)::indexSelectL...         0.00%       0.000us         0.00%       0.000us       0.000us       8.000us         0.17%       8.000us       2.667us             3  
void (anonymous namespace)::elementwise_kernel_with_...         0.00%       0.000us         0.00%       0.000us       0.000us       3.000us         0.06%       3.000us       1.000us             3  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us      22.000us         0.47%      22.000us       7.333us             3  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      39.000us         0.83%      39.000us       1.625us            24  
                                      aten::result_type         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           108  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     178.000us         3.81%     178.000us       2.282us            78  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      64.000us         1.37%      64.000us       3.556us            18  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     148.000us         3.17%     148.000us       1.897us            78  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      15.000us         0.32%      15.000us       1.000us            15  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     124.000us         2.65%     124.000us       1.968us            63  
sm80_xmma_gemm_f32f32_f32f32_f32_tn_n_tilesize32x32x...         0.00%       0.000us         0.00%       0.000us       0.000us     395.000us         8.45%     395.000us       8.229us            48  
sm80_xmma_gemm_f32f32_f32f32_f32_tn_n_tilesize32x32x...         0.00%       0.000us         0.00%       0.000us       0.000us     150.000us         3.21%     150.000us       4.167us            36  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     215.000us         4.60%     215.000us       1.525us           141  
void at::native::triu_tril_kernel<float, int, true>(...         0.00%       0.000us         0.00%       0.000us       0.000us       8.000us         0.17%       8.000us       1.333us             6  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       6.000us         0.13%       6.000us       1.000us             6  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      96.000us         2.05%      96.000us       2.000us            48  
sm80_xmma_gemm_f32f32_f32f32_f32_nn_n_tilesize32x32x...         0.00%       0.000us         0.00%       0.000us       0.000us      82.000us         1.75%      82.000us       6.833us            12  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      24.000us         0.51%      24.000us       1.000us            24  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      27.000us         0.58%      27.000us       1.000us            27  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      22.000us         0.47%      22.000us       1.833us            12  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      34.000us         0.73%      34.000us       3.778us             9  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      15.000us         0.32%      15.000us       1.000us            15  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     133.000us         2.85%     133.000us       2.956us            45  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      50.000us         1.07%      50.000us       2.083us            24  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     675.000us        14.44%     675.000us       2.228us           303  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     928.000us        19.85%     928.000us       2.379us           390  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       6.000us         0.13%       6.000us       1.000us             6  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     101.000us         2.16%     101.000us       1.052us            96  
void cutlass::Kernel<cutlass_80_simt_sgemm_32x128_8x...         0.00%       0.000us         0.00%       0.000us       0.000us      15.000us         0.32%      15.000us       5.000us             3  
void splitKreduce_kernel<32, 16, int, float, float, ...         0.00%       0.000us         0.00%       0.000us       0.000us      83.000us         1.78%      83.000us       1.976us            42  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.000us         0.06%       3.000us       1.000us             3  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      33.000us         0.71%      33.000us       1.000us            33  
void at::native::_scatter_gather_elementwise_kernel<...         0.00%       0.000us         0.00%       0.000us       0.000us       6.000us         0.13%       6.000us       2.000us             3  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      33.000us         0.71%      33.000us       1.833us            18  
void at::native::_scatter_gather_elementwise_kernel<...         0.00%       0.000us         0.00%       0.000us       0.000us       6.000us         0.13%       6.000us       2.000us             3  
      autograd::engine::evaluate_function: NegBackward0         0.00%       0.000us         0.10%      53.000us      17.667us       0.000us         0.00%       3.000us       1.000us             3  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     161.000us         3.44%     161.000us       2.683us            60  
void at::native::_scatter_gather_elementwise_kernel<...         0.00%       0.000us         0.00%       0.000us       0.000us      16.000us         0.34%      16.000us       1.778us             9  
sm80_xmma_gemm_f32f32_f32f32_f32_nt_n_tilesize32x32x...         0.00%       0.000us         0.00%       0.000us       0.000us     143.000us         3.06%     143.000us       3.667us            39  
void cutlass::Kernel<cutlass_80_simt_sgemm_64x64_8x5...         0.00%       0.000us         0.00%       0.000us       0.000us       9.000us         0.19%       9.000us       3.000us             3  
void at::native::reduce_kernel<128, 4, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      72.000us         1.54%      72.000us       4.000us            18  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      15.000us         0.32%      15.000us       1.000us            15  
                                           AddBackward0         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us            36  
void cutlass::Kernel<cutlass_80_simt_sgemm_128x32_8x...         0.00%       0.000us         0.00%       0.000us       0.000us      96.000us         2.05%      96.000us       8.000us            12  
void cutlass::Kernel<cutlass_80_simt_sgemm_128x32_8x...         0.00%       0.000us         0.00%       0.000us       0.000us     271.000us         5.80%     271.000us       7.528us            36  
                                         CloneBackward0         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us            24  
                                        ExpandBackward0         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us            24  
void at::native::(anonymous namespace)::embedding_ba...         0.00%       0.000us         0.00%       0.000us       0.000us      12.000us         0.26%      12.000us       2.000us             6  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     132.000us         2.82%     132.000us       2.316us            57  
                aten::_has_compatible_shallow_copy_type         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           114  
autograd::engine::evaluate_function: MaskedFillBackw...        -0.04%     -20.000us         0.56%     293.000us      48.833us       0.000us         0.00%      22.000us       3.667us             6  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 52.108ms
Self CUDA time total: 4.674ms

