mean of forward measurement times = 0.110074
std. dev of forward measurement times = 0.153300
mean of backward measurement times = 0.003471
std. dev of backward measurement times = 0.001459
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                  aten::gather_backward         0.07%      39.000us         0.30%     160.000us      53.333us       0.000us         0.00%       7.000us       2.333us             3  
                                           BmmBackward0         0.17%      89.000us         1.21%     636.000us      53.000us       0.000us         0.00%     147.000us      12.250us            12  
                                            MmBackward0         0.48%     253.000us         3.85%       2.031ms      52.077us       0.000us         0.00%     611.000us      15.667us            39  
                                          MeanBackward0         0.06%      31.000us         0.28%     149.000us      49.667us       0.000us         0.00%       4.000us       1.333us             3  
                                        aten::embedding         0.13%      68.000us         0.55%     291.000us      48.500us       0.000us         0.00%      30.000us       5.000us             6  
autograd::engine::evaluate_function: MaskedFillBackw...         0.05%      25.000us         0.54%     284.000us      47.333us       0.000us         0.00%      22.000us       3.667us             6  
                                      aten::masked_fill         0.20%     106.000us         1.05%     554.000us      46.167us       0.000us         0.00%      44.000us       3.667us            12  
    autograd::engine::evaluate_function: RsqrtBackward0         0.11%      57.000us         1.31%     691.000us      46.067us       0.000us         0.00%      66.000us       4.400us            15  
autograd::engine::evaluate_function: EmbeddingBackwa...         0.01%       4.000us         0.52%     274.000us      45.667us       0.000us         0.00%      28.000us       4.667us             6  
                                           aten::linear         0.38%     202.000us         3.28%       1.727ms      44.282us       0.000us         0.00%     445.000us      11.410us            39  
                                    MaskedFillBackward0         0.02%      13.000us         0.49%     259.000us      43.167us       0.000us         0.00%      22.000us       3.667us             6  
                                         RsqrtBackward0         0.16%      84.000us         1.20%     634.000us      42.267us       0.000us         0.00%      66.000us       4.400us            15  
                                           PowBackward0         0.13%      69.000us         1.18%     623.000us      41.533us       0.000us         0.00%      55.000us       3.667us            15  
      autograd::engine::evaluate_function: MulBackward0         0.59%     313.000us         3.13%       1.649ms      39.262us       0.000us         0.00%     277.000us       6.595us            42  
                                           MaxBackward0         0.08%      40.000us         0.67%     353.000us      39.222us       0.000us         0.00%      33.000us       3.667us             9  
      autograd::engine::evaluate_function: DivBackward0         0.18%      93.000us         1.21%     638.000us      35.444us       0.000us         0.00%      91.000us       5.056us            18  
                                     aten::index_select         0.17%      92.000us         0.40%     211.000us      35.167us      30.000us         0.64%      30.000us       5.000us             6  
               aten::value_selecting_reduction_backward         0.01%       4.000us         0.59%     313.000us      34.778us       0.000us         0.00%      33.000us       3.667us             9  
      autograd::engine::evaluate_function: SubBackward0         0.21%     112.000us         0.96%     504.000us      33.600us       0.000us         0.00%      62.000us       4.133us            15  
                                     EmbeddingBackward0         0.14%      73.000us         0.34%     180.000us      30.000us       0.000us         0.00%      17.000us       2.833us             6  
                               aten::embedding_backward         0.03%      15.000us         0.32%     170.000us      28.333us       0.000us         0.00%      23.000us       3.833us             6  
                                              aten::bmm         1.45%     762.000us         1.90%     999.000us      27.750us     224.000us         4.78%     230.000us       6.389us            36  
                                           DivBackward0         0.12%      64.000us         0.90%     473.000us      26.278us       0.000us         0.00%      73.000us       4.056us            18  
                         aten::embedding_dense_backward         0.06%      34.000us         0.29%     155.000us      25.833us      12.000us         0.26%      23.000us       3.833us             6  
                                         aten::_to_copy         0.17%      92.000us         0.55%     292.000us      24.333us       0.000us         0.00%       6.000us       0.500us            12  
                                     aten::scatter_add_         0.11%      59.000us         0.14%      73.000us      24.333us       6.000us         0.13%       6.000us       2.000us             3  
                                        aten::new_zeros         0.03%      15.000us         0.13%      71.000us      23.667us       0.000us         0.00%       3.000us       1.000us             3  
                                               aten::mm         3.52%       1.857ms         5.06%       2.664ms      22.769us       1.021ms        21.79%       1.101ms       9.410us           117  
                                        aten::ones_like         0.02%       9.000us         0.12%      65.000us      21.667us       0.000us         0.00%       3.000us       1.000us             3  
                                              aten::max         0.30%     157.000us         0.37%     194.000us      21.556us      34.000us         0.73%      35.000us       3.889us             9  
     autograd::engine::evaluate_function: MeanBackward1         0.06%      33.000us         0.58%     308.000us      20.533us       0.000us         0.00%      33.000us       2.200us            15  
                                           aten::gather         0.09%      48.000us         0.12%      61.000us      20.333us       6.000us         0.13%       6.000us       2.000us             3  
                                           aten::arange         0.09%      49.000us         0.23%     121.000us      20.167us       3.000us         0.06%       5.000us       0.833us             6  
                                           MulBackward0         0.28%     150.000us         1.57%     829.000us      19.738us       0.000us         0.00%     123.000us       2.929us            42  
                                            aten::clone         0.36%     191.000us         2.24%       1.183ms      19.717us       0.000us         0.00%     111.000us       1.850us            60  
                                          aten::randint         0.07%      36.000us         0.11%      59.000us      19.667us       0.000us         0.00%       0.000us       0.000us             3  
                                             aten::ones         0.06%      30.000us         0.22%     118.000us      19.667us       0.000us         0.00%       7.000us       1.167us             6  
                                       aten::contiguous         0.01%       6.000us         0.21%     113.000us      18.833us       0.000us         0.00%      12.000us       2.000us             6  
      autograd::engine::evaluate_function: LogBackward0         0.00%       1.000us         0.10%      54.000us      18.000us       0.000us         0.00%       7.000us       2.333us             3  
      autograd::engine::evaluate_function: NegBackward0        -0.00%      -2.000us         0.10%      53.000us      17.667us       0.000us         0.00%       3.000us       1.000us             3  
      autograd::engine::evaluate_function: ExpBackward0         0.07%      37.000us         0.30%     159.000us      17.667us       0.000us         0.00%      10.000us       1.111us             9  
                                          MeanBackward1         0.10%      55.000us         0.50%     262.000us      17.467us       0.000us         0.00%      31.000us       2.067us            15  
                                             aten::mean         0.44%     233.000us         0.57%     299.000us      16.611us      66.000us         1.41%      68.000us       3.778us            18  
                                       aten::zeros_like         0.57%     301.000us         3.43%       1.807ms      15.851us       0.000us         0.00%     198.000us       1.737us           114  
                                            aten::zeros         0.16%      85.000us         0.44%     230.000us      15.333us       0.000us         0.00%      17.000us       1.133us            15  
      autograd::engine::evaluate_function: SumBackward1         0.07%      39.000us         0.25%     134.000us      14.889us       0.000us         0.00%      11.000us       1.222us             9  
                                      aten::_pin_memory         0.10%      55.000us         0.17%      89.000us      14.833us       0.000us         0.00%       0.000us       0.000us             6  
                                         aten::scatter_         0.20%     103.000us         0.25%     133.000us      14.778us      16.000us         0.34%      17.000us       1.889us             9  
                                     aten::masked_fill_         0.20%     103.000us         0.32%     168.000us      14.000us      23.000us         0.49%      28.000us       2.333us            12  
                                           NegBackward0         0.03%      17.000us         0.08%      41.000us      13.667us       0.000us         0.00%       2.000us       0.667us             3  
                                              aten::pow         1.88%     989.000us         2.78%       1.464ms      13.556us     195.000us         4.16%     238.000us       2.204us           108  
                                           ExpBackward0         0.06%      29.000us         0.23%     122.000us      13.556us       0.000us         0.00%      10.000us       1.111us             9  
                                              aten::log         0.06%      30.000us         0.08%      40.000us      13.333us       3.000us         0.06%       5.000us       1.667us             3  
                                           LogBackward0         0.03%      18.000us         0.08%      40.000us      13.333us       0.000us         0.00%       2.000us       0.667us             3  
                                              aten::exp         0.27%     143.000us         0.37%     197.000us      13.133us      15.000us         0.32%      17.000us       1.133us            15  
                                              aten::erf         0.11%      59.000us         0.15%      78.000us      13.000us       6.000us         0.13%       6.000us       1.000us             6  
                                             aten::triu         0.10%      54.000us         0.15%      77.000us      12.833us       8.000us         0.17%       8.000us       1.333us             6  
                                            aten::rsqrt         0.27%     144.000us         0.36%     192.000us      12.800us      15.000us         0.32%      15.000us       1.000us            15  
                                              aten::sum         1.07%     566.000us         1.48%     778.000us      12.349us     205.000us         4.37%     220.000us       3.492us            63  
                                              aten::sub         0.25%     133.000us         0.34%     180.000us      12.000us      23.000us         0.49%      34.000us       2.267us            15  
                                           aten::square         0.24%     125.000us         1.29%     682.000us      11.965us       0.000us         0.00%     142.000us       2.491us            57  
                                              aten::div         1.97%       1.040ms         2.82%       1.484ms      11.778us     268.000us         5.72%     295.000us       2.341us           126  
                                           aten::unbind         0.07%      35.000us         0.13%      69.000us      11.500us       0.000us         0.00%       0.000us       0.000us             6  
     autograd::engine::evaluate_function: ViewBackward0         0.38%     199.000us         1.44%     757.000us      10.971us       0.000us         0.00%      36.000us       0.522us            69  
                                           SubBackward0         0.07%      37.000us         0.31%     164.000us      10.933us       0.000us         0.00%      23.000us       1.533us            15  
                                            aten::copy_         0.87%     461.000us         1.86%     978.000us      10.516us     129.000us         2.75%     137.000us       1.473us            93  
                                              aten::mul         6.37%       3.356ms        10.54%       5.556ms      10.102us       1.150ms        24.54%       1.258ms       2.287us           550  
                                              aten::add         2.68%       1.413ms         4.55%       2.396ms       9.983us     477.000us        10.18%     519.000us       2.163us           240  
                                              aten::neg         0.40%     210.000us         0.60%     317.000us       9.606us      33.000us         0.70%      44.000us       1.333us            33  
                                            aten::stack         0.06%      34.000us         0.11%      57.000us       9.500us       0.000us         0.00%       0.000us       0.000us             6  
                                             aten::sqrt         0.60%     317.000us         1.02%     536.000us       9.404us     138.000us         2.94%     160.000us       2.807us            57  
autograd::engine::evaluate_function: UnsafeViewBackw...         0.33%     173.000us         1.18%     621.000us       9.000us       0.000us         0.00%      25.000us       0.362us            69  
                                        cudaMemcpyAsync         0.55%     291.000us         0.55%     291.000us       8.818us       7.000us         0.15%       7.000us       0.212us            33  
                                            aten::zero_         0.46%     241.000us         1.98%       1.046ms       7.924us       0.000us         0.00%     233.000us       1.765us           132  
                                        aten::new_empty         0.01%       6.000us         0.04%      21.000us       7.000us       0.000us         0.00%       0.000us       0.000us             3  
                                  cudaDeviceSynchronize         0.01%       7.000us         0.01%       7.000us       7.000us       0.000us         0.00%       0.000us       0.000us             1  
                                             aten::add_         0.43%     224.000us         0.79%     418.000us       6.967us      64.000us         1.37%      83.000us       1.383us            60  
                                          aten::reshape         0.67%     355.000us         2.54%       1.338ms       6.464us       0.000us         0.00%      85.000us       0.411us           207  
                                             aten::sub_         0.79%     418.000us         1.38%     726.000us       6.368us     303.000us         6.47%     325.000us       2.851us           114  
                                            aten::fill_         0.81%     427.000us         1.69%     893.000us       6.333us     213.000us         4.55%     243.000us       1.723us           141  
        autograd::engine::evaluate_function: TBackward0         0.18%      93.000us         0.46%     242.000us       6.205us       0.000us         0.00%       0.000us       0.000us            39  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 52.699ms
Self CUDA time total: 4.686ms

