mean of forward measurement times = 0.104483
std. dev of forward measurement times = 0.145413
mean of backward measurement times = 0.003500
std. dev of backward measurement times = 0.001446
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::copy_         1.21%     417.000us         2.66%     915.000us       9.839us     129.000us         2.74%     141.000us       1.516us            93  
                                            aten::fill_         1.28%     440.000us         2.62%     901.000us       6.390us     214.000us         4.54%     236.000us       1.674us           141  
      autograd::engine::evaluate_function: PowBackward0         0.32%     110.000us         2.41%     826.000us      55.067us       0.000us         0.00%      95.000us       6.333us            15  
                                           MulBackward0         0.40%     138.000us         2.38%     818.000us      19.476us       0.000us         0.00%     122.000us       2.905us            42  
                                              aten::bmm         1.75%     602.000us         2.30%     791.000us      21.972us     229.000us         4.86%     241.000us       6.694us            36  
                                              aten::sum         1.67%     573.000us         2.29%     786.000us      12.476us     207.000us         4.40%     228.000us       3.619us            63  
     autograd::engine::evaluate_function: ViewBackward0         0.49%     169.000us         2.19%     752.000us      10.899us       0.000us         0.00%      36.000us       0.522us            69  
                                             aten::sub_         1.07%     368.000us         2.06%     706.000us       6.193us     302.000us         6.41%     319.000us       2.798us           114  
      autograd::engine::evaluate_function: BmmBackward0         0.13%      45.000us         2.00%     687.000us      57.250us       0.000us         0.00%     154.000us      12.833us            12  
    autograd::engine::evaluate_function: RsqrtBackward0         0.16%      54.000us         1.92%     660.000us      44.000us       0.000us         0.00%      63.000us       4.200us            15  
                                           aten::square         0.47%     160.000us         1.85%     637.000us      11.175us       0.000us         0.00%     135.000us       2.368us            57  
      autograd::engine::evaluate_function: DivBackward0         0.25%      85.000us         1.84%     633.000us      35.167us       0.000us         0.00%      92.000us       5.111us            18  
                                           BmmBackward0         0.30%     102.000us         1.82%     624.000us      52.000us       0.000us         0.00%     150.000us      12.500us            12  
                                           PowBackward0         0.17%      59.000us         1.81%     620.000us      41.333us       0.000us         0.00%      67.000us       4.467us            15  
autograd::engine::evaluate_function: UnsafeViewBackw...         0.38%     131.000us         1.79%     614.000us       8.899us       0.000us         0.00%      27.000us       0.391us            69  
                                         RsqrtBackward0         0.19%      66.000us         1.76%     606.000us      40.400us       0.000us         0.00%      63.000us       4.200us            15  
                                    aten::empty_strided         1.36%     468.000us         1.67%     572.000us       4.434us       0.000us         0.00%       0.000us       0.000us           129  
                                      aten::masked_fill         0.26%      90.000us         1.59%     547.000us      45.583us       0.000us         0.00%      46.000us       3.833us            12  
                                             aten::sqrt         0.92%     316.000us         1.53%     527.000us       9.246us     132.000us         2.80%     141.000us       2.474us            57  
                                                aten::t         0.90%     310.000us         1.53%     524.000us       2.687us       0.000us         0.00%       0.000us       0.000us           195  
      autograd::engine::evaluate_function: MaxBackward0         0.20%      67.000us         1.46%     502.000us      55.778us       0.000us         0.00%      37.000us       4.111us             9  
      autograd::engine::evaluate_function: SubBackward0         0.29%      99.000us         1.44%     495.000us      33.000us       0.000us         0.00%      62.000us       4.133us            15  
                                           DivBackward0         0.19%      66.000us         1.38%     475.000us      26.389us       0.000us         0.00%      73.000us       4.056us            18  
                                    cudaLaunchKernelExC         1.30%     446.000us         1.30%     446.000us       3.304us      22.000us         0.47%      22.000us       0.163us           135  
                                        aten::transpose         1.20%     412.000us         1.29%     443.000us       1.588us       0.000us         0.00%       0.000us       0.000us           279  
                                    UnsafeViewBackward0         0.40%     138.000us         1.22%     420.000us       6.087us       0.000us         0.00%      23.000us       0.333us            69  
                                          ViewBackward0         0.45%     153.000us         1.21%     417.000us       6.043us       0.000us         0.00%      18.000us       0.261us            69  
                                             aten::add_         0.66%     228.000us         1.20%     412.000us       6.867us      66.000us         1.40%      83.000us       1.383us            60  
      autograd::engine::evaluate_function: ErfBackward0         0.07%      25.000us         1.14%     391.000us      65.167us       0.000us         0.00%      35.000us       5.833us             6  
                                           MaxBackward0         0.13%      45.000us         1.10%     379.000us      42.111us       0.000us         0.00%      28.000us       3.111us             9  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 34.340ms
Self CUDA time total: 4.709ms

